Province/State,Country/Region,Lat,Long,cases
Yukon,Canada,64.2823,-135,14
Kosovo,Kosovo,42.602636,20.902977,8104
Burma,Burma,21.9162,95.956,353
Anguilla,United Kingdom,18.2206,-63.0686,3
British Virgin Islands,United Kingdom,18.4207,-64.64,8
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,107
Botswana,Botswana,-22.3285,24.6849,804
Burundi,Burundi,-3.3731,29.9189,387
Sierra Leone,Sierra Leone,8.460555,-11.779889,1823
"Bonaire, Sint Eustatius and Saba",Netherlands,12.1784,-68.2385,11
Malawi,Malawi,-13.2543,34.3015,4078
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,13
Saint Pierre and Miquelon,France,46.8852,-56.3159,4
South Sudan,South Sudan,6.877,31.307,2322
Western Sahara,Western Sahara,24.2155,-12.8858,10
Sao Tome and Principe,Sao Tome and Principe,0.1864,6.6131,871
Yemen,Yemen,15.552727,48.516388,1728
Comoros,Comoros,-11.6455,43.3333,378
Tajikistan,Tajikistan,38.861,71.2761,7409
Lesotho,Lesotho,-29.61,28.2336,604
